,Coefficient
date_open,-0.016717354683396864
join_parent_date,0.001773381559204517
items,1.3434337740428246
nic,0.5589572439755417
act.cost,0.9694376290008648
quantity,-0.020976656578580943
bnf.chapter,8.712510294134209
bnf.section,12.675779173645777
bnf.paragraph,-64.74011588655307
ccg_code1,6.1969967373524995
high_level_health_geography1,601.7936870056137
commissioner1,6.197033833782845
sha1,-2.306309078499035
bnf.name1,-1.3801610929070094
e8...1,0.07401472760005845
ABINGDON  OXFORDSHIRE,862.289455788156
ALENCON LINK  BASINGSTOKE,16259.673583856187
BARLBOROUGH  CHESTERFIELD,3107.1796642326112
BEDFORDSHIRE,3124.632522858017
BERKSHIRE,2797.6509020813637
BEVERLEY,-413.3941128614467
BIRMINGHAM,-1254.3583294236296
BRADFORD,-4037.273938468693
BRISTOL,5362.251018802831
BROOKLANDS  MILTON KEYNES,10934.22476811865
BROWNHILLS,-3793.298934780804
BUCKINGHAMSHIRE,3750.2839561216365
CAMBRIDGESHIRE,3519.7556865363927
CHESHIRE,758.1205926253255
CHESTER  CHESHIRE,6101.831161495188
CLEVELAND,-1618.5379159753427
CO.DURHAM,-2775.6874488568965
COLCHESTER ESSEX,1542.2667013904381
CORNWALL,-2241.160530292506
COUNTY DURHAM,1410.5256731135937
COVENTRY,2165.1744797328456
CUMBRIA,-3868.4465992926503
DERBY,4853.488275975804
DERBYSHIRE,2835.7899299177257
DEVIZES  WILTSHIRE,-7281.532500829821
DEVON,-1641.896199110882
DONCASTER,-4036.5082735435467
DORSET,292.52032830747504
DOVER  KENT,-6129.661414933531
EAST SUSSEX,683.0744867479142
EAST YORKSHIRE,1650.990696076674
ENFIELD  MIDDLESEX,4967.391237481672
ESSEX,-154.45345802070298
GLOUCESTER,1320.309554222727
GLOUCESTERSHIRE,-5451.679945612001
GREAT BARR BIRMINGHAM,-3382.5958492443483
HAMPSHIRE,2840.2773550191796
HARTLEPOOL CLEVELAND,-461.2586394335891
HEREFORDSHIRE,1139.7795076655664
HERTFORDSHIRE,3361.8253881871815
HUDDERSFIELD,1282.8658843823973
HUNTINGDON CAMBRIDGESHIRE,-5800.9538058015305
ILFORD  ESSEX,8152.348744863841
ISLE OF WIGHT,1204.6221954583148
KENT,1471.7132936571325
KINGSTON UPON HULL,-10.561130784728974
LANCASHIRE,-46.85252238832802
LEEDS,-1603.9923458509388
LEICESTERSHIRE,1927.4113335684494
LINCOLNSHIRE,889.6598531757429
LIVERPOOL,-1694.078775112702
LONDON,2887.669922880439
MACCLESFIELD  CHESHIRE,2266.622796803505
MAIDSTONE  KENT,6435.900550013795
MANCHESTER,-2970.244943753597
MERSEYSIDE,-1501.5677519544527
MIDDLESEX,650.4250714649012
NORFOLK,2253.6751085259275
NORTH EAST LINCOLNSHIRE,4085.7044860790857
NORTH LINCOLNSHIRE,3685.321612719471
NORTH SOMERSET,4825.36577495905
NORTH YORKSHIRE,4469.872166006415
NORTHAMPTON,-1648.5182450018854
NORTHAMPTONSHIRE,7039.784959552777
NORTHUMBERLAND,7187.504956805645
NORWICH,-923.0363635390771
NOTTINGHAM,-729.2573743292013
NOTTINGHAMSHIRE,7546.667610367047
OXFORDSHIRE,3214.1672561006217
PERSHORE  WORCESTERSHIRE,2455.297152990248
PRESTON,521.3797356618345
ROTHERHAM,-5025.226686410336
SHAW  OLDHAM,-5530.944854401444
SHERBURN-IN-ELMET,-1005.4954978910841
SHREWSBURY  SHROPSHIRE,3532.4551593292044
SHROPSHIRE,1881.928867651161
SNEINTON  NOTTINGHAM,1.8189894035458565e-12
SOMERSET,-2718.2470343838218
SOUTH HUMBERSIDE,6598.492042512255
SOUTH YORKSHIRE,-1216.4494644315048
SOUTHAMPTON  HAMPSHIRE,-153.0010535846977
STAFFORDSHIRE,3200.5376745223707
STOCKPORT CHESHIRE,-1280.4528272028042
SUFFOLK,2963.071246875461
SURREY,1572.7101662706925
TYNE & WEAR,-3522.833118689738
TYNE AND WEAR,-4762.746670921079
UCKFIELD,-3339.326229895899
WADEBRIDGE CORNWALL,-4160.625388615139
WARWICKSHIRE,2043.475242730628
WEST BYFLEET  SURREY,-752.0931638002222
WEST MIDLANDS,3367.1633281521
WEST SUSSEX,246.10024685286047
WEST YORKSHIRE,566.1935832818021
WIGAN,-2605.1811997535456
WIGAN  LANCASHIRE,-4922.232394470313
WILTSHIRE,4753.377542621289
WIRRAL,-6079.6253569196
WOOLSTON  SOUTHAMPTON,5423.517686980636
WORCESTERSHIRE,5202.34876718241
YORK,21618.187306310465
Y56,1781.0934620196128
Y58,-500.0530809657564
Y59,-4118.201579686884
Y60,-1139.1038005940566
Y61,-861.2153937655811
Y62,470.5122471144972
Y63,4366.968144824741
